MMSI,Timestamp,Distance(km),Speed(km/h)
2579999,27/01/2025 00:05:30,202.2180777511267,12133.084665067603
2579999,27/01/2025 00:05:50,202.2195925106316,12133.175550637896
2579999,27/01/2025 00:15:50,202.21510259550308,12132.906155730185
2579999,27/01/2025 00:16:10,202.215533442102,12132.93200652612
2579999,27/01/2025 00:17:30,202.21362555101365,12132.81753306082
2579999,27/01/2025 00:17:50,202.21231466998046,12132.738880198827
2579999,27/01/2025 00:26:10,202.21126166958405,12132.675700175043
2579999,27/01/2025 00:26:50,202.21091848639625,12132.655109183775
2579999,27/01/2025 00:44:50,202.21199764321568,12132.719858592942
2579999,27/01/2025 00:45:10,202.21249033204558,12132.749419922735
2579999,27/01/2025 00:55:10,202.20900889479068,12132.540533687441
2579999,27/01/2025 00:55:50,202.20970613240976,12132.582367944586
2579999,27/01/2025 01:05:30,202.21188925818925,12132.713355491354
2579999,27/01/2025 01:05:50,202.21188178784394,12132.712907270636
2579999,27/01/2025 01:13:50,202.21154301092886,12132.692580655732
2579999,27/01/2025 01:14:10,202.211856971502,12132.711418290119
2579999,27/01/2025 01:34:30,202.20885532366475,12132.531319419884
2579999,27/01/2025 01:34:50,202.20915093448235,12132.549056068941
2579999,27/01/2025 01:42:50,202.20895249043,12132.5371494258
2579999,27/01/2025 01:43:10,202.20970069550125,12132.582041730075
2579999,27/01/2025 01:53:10,202.21132045528933,12132.67922731736
2579999,27/01/2025 01:53:50,202.21098136104533,12132.658881662719
2579999,27/01/2025 02:03:30,202.2110822606381,12132.664935638286
2579999,27/01/2025 02:03:50,202.21087770916645,12132.652662549988
2579999,27/01/2025 02:13:50,202.20974148035344,12132.584488821207
2579999,27/01/2025 02:14:10,202.21032522335233,12132.61951340114
2579999,27/01/2025 02:22:10,202.2111318716329,12132.667912297973
2579999,27/01/2025 02:22:50,202.21251819441974,12132.751091665185
2579999,27/01/2025 03:40:50,202.21576585945812,12132.945951567488
2579999,27/01/2025 03:41:10,202.2150760948862,12132.904565693172
2579999,27/01/2025 04:20:10,202.2135525148993,12132.813150893959
2579999,27/01/2025 04:20:50,202.21429325650703,12132.857595390422
2579999,27/01/2025 04:28:30,202.2115192265594,12132.691153593565
2579999,27/01/2025 04:28:50,202.21039453744243,12132.623672246546
2579999,27/01/2025 04:38:50,202.21068845015645,12132.641307009388
2579999,27/01/2025 04:39:10,202.21134559382563,12132.680735629538
2579999,27/01/2025 04:49:10,202.2124182945803,12132.745097674817
2579999,27/01/2025 04:50:10,202.21245499078765,12132.74729944726
2579999,27/01/2025 05:47:10,202.21443935934278,12132.866361560567
2579999,27/01/2025 05:47:50,202.21349001634354,12132.809400980612
2579999,27/01/2025 05:57:30,202.21256848152734,12132.75410889164
2579999,27/01/2025 05:57:50,202.2126561469027,12132.759368814162
2579999,27/01/2025 06:16:10,202.2130839477947,12132.785036867683
2579999,27/01/2025 06:16:30,202.21330277612194,12132.798166567316
2579999,27/01/2025 06:26:30,202.2091373494561,12132.548240967368
2579999,27/01/2025 06:26:50,202.2098271076488,12132.589626458928
2579999,27/01/2025 06:36:50,202.21502954308323,12132.901772584994
2579999,27/01/2025 06:37:10,202.21556640046674,12132.933984028004
2579999,27/01/2025 06:47:10,202.21333129970654,12132.799877982392
2579999,27/01/2025 06:47:30,202.21397009457584,12132.83820567455
2579999,27/01/2025 06:57:30,202.21073194430528,12132.643916658317
2579999,27/01/2025 06:57:50,202.21084882938223,12132.650929762935
2579999,27/01/2025 07:02:40,202.21224467771944,12132.734680663167
2579999,27/01/2025 07:02:50,202.2117628636795,12132.70577182077
2579999,27/01/2025 07:12:00,202.2114669015777,12132.688014094661
2579999,27/01/2025 07:12:10,202.21109449940968,12132.665669964581
2579999,27/01/2025 07:16:10,202.20747986893926,12132.448792136356
2579999,27/01/2025 07:16:30,202.20782305002663,12132.469383001599
2579999,27/01/2025 07:26:30,202.20810545207266,12132.48632712436
2579999,27/01/2025 07:26:50,202.20855804720804,12132.513482832483
2579999,27/01/2025 07:30:40,202.2125742620133,12132.754455720798
2579999,27/01/2025 07:30:50,202.21117638511723,12132.670583107034
2579999,27/01/2025 07:45:10,202.21430615395388,12132.858369237234
2579999,27/01/2025 07:45:30,202.21441556800286,12132.864934080171
2579999,27/01/2025 07:55:30,202.21328440706372,12132.797064423823
2579999,27/01/2025 07:55:50,202.21360924088245,12132.816554452947
2579999,27/01/2025 08:14:10,202.2135756021374,12132.814536128244
2579999,27/01/2025 08:14:30,202.21341114756862,12132.804668854118
2579999,27/01/2025 08:24:30,202.21578862156352,12132.94731729381
2579999,27/01/2025 08:24:50,202.21558407248935,12132.93504434936
